# Copyright (C) 1991-2014 Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus II License Agreement,
# the Altera MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Altera and sold by Altera or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus II 64-Bit Version 14.1.0 Build 186 12/03/2014 SJ Web Edition
# File: C:\Users\Paul\Desktop\M68k.csv
# Generated on: Sat Oct 03 16:45:25 2015

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Fitter Location,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
GPIO_0[1],Bidir,PIN_Y17,4A,B4A_N0,3.3-V LVTTL,,,PIN_Y17,,,,,,,,,,,
GPIO_0[0],Bidir,PIN_AC18,4A,B4A_N0,3.3-V LVTTL,,,PIN_AC18,,,,,,,,,,,
GPIO_1[35],Bidir,PIN_AC22,4A,B4A_N0,3.3-V LVTTL,,,PIN_AC22,,,,,,,,,,,
GPIO_1[34],Bidir,PIN_AA20,4A,B4A_N0,3.3-V LVTTL,,,PIN_AA20,,,,,,,,,,,
GPIO_1[33],Bidir,PIN_AD21,4A,B4A_N0,3.3-V LVTTL,,,PIN_AD21,,,,,,,,,,,
GPIO_1[32],Bidir,PIN_AE22,4A,B4A_N0,3.3-V LVTTL,,,PIN_AE22,,,,,,,,,,,
GPIO_1[31],Bidir,PIN_AF23,4A,B4A_N0,3.3-V LVTTL,,,PIN_AF23,,,,,,,,,,,
GPIO_1[30],Bidir,PIN_AF24,4A,B4A_N0,3.3-V LVTTL,,,PIN_AF24,,,,,,,,,,,
GPIO_1[29],Bidir,PIN_AG22,4A,B4A_N0,3.3-V LVTTL,,,PIN_AG22,,,,,,,,,,,
GPIO_1[28],Bidir,PIN_AH22,4A,B4A_N0,3.3-V LVTTL,,,PIN_AH22,,,,,,,,,,,
GPIO_1[27],Bidir,PIN_AJ22,4A,B4A_N0,3.3-V LVTTL,,,PIN_AJ22,,,,,,,,,,,
GPIO_1[26],Bidir,PIN_AK22,4A,B4A_N0,3.3-V LVTTL,,,PIN_AK22,,,,,,,,,,,
GPIO_1[25],Bidir,PIN_AH23,4A,B4A_N0,3.3-V LVTTL,,,PIN_AH23,,,,,,,,,,,
GPIO_1[24],Bidir,PIN_AK23,4A,B4A_N0,3.3-V LVTTL,,,PIN_AK23,,,,,,,,,,,
GPIO_1[23],Bidir,PIN_AG23,4A,B4A_N0,3.3-V LVTTL,,,PIN_AG23,,,,,,,,,,,
GPIO_1[22],Bidir,PIN_AK24,4A,B4A_N0,3.3-V LVTTL,,,PIN_AK24,,,,,,,,,,,
GPIO_1[21],Bidir,PIN_AJ24,4A,B4A_N0,3.3-V LVTTL,,,PIN_AJ24,,,,,,,,,,,
GPIO_1[20],Bidir,PIN_AJ25,4A,B4A_N0,3.3-V LVTTL,,,PIN_AJ25,,,,,,,,,,,
GPIO_1[19],Bidir,PIN_AH25,4A,B4A_N0,3.3-V LVTTL,,,PIN_AH25,,,,,,,,,,,
GPIO_1[18],Bidir,PIN_AK26,4A,B4A_N0,3.3-V LVTTL,,,PIN_AK26,,,,,,,,,,,
GPIO_1[17],Bidir,PIN_AJ26,4A,B4A_N0,3.3-V LVTTL,,,PIN_AJ26,,,,,,,,,,,
GPIO_1[16],Bidir,PIN_AK27,4A,B4A_N0,3.3-V LVTTL,,,PIN_AK27,,,,,,,,,,,
GPIO_1[15],Bidir,PIN_AK28,4A,B4A_N0,3.3-V LVTTL,,,PIN_AK28,,,,,,,,,,,
GPIO_1[14],Bidir,PIN_AK29,4A,B4A_N0,3.3-V LVTTL,,,PIN_AK29,,,,,,,,,,,
GPIO_1[13],Bidir,PIN_AJ27,4A,B4A_N0,3.3-V LVTTL,,,PIN_AJ27,,,,,,,,,,,
GPIO_1[12],Bidir,PIN_AH27,4A,B4A_N0,3.3-V LVTTL,,,PIN_AH27,,,,,,,,,,,
GPIO_1[11],Bidir,PIN_AH24,4A,B4A_N0,3.3-V LVTTL,,,PIN_AH24,,,,,,,,,,,
GPIO_1[10],Bidir,PIN_AG26,4A,B4A_N0,3.3-V LVTTL,,,PIN_AG26,,,,,,,,,,,
GPIO_1[9],Bidir,PIN_AG25,4A,B4A_N0,3.3-V LVTTL,,,PIN_AG25,,,,,,,,,,,
GPIO_1[8],Bidir,PIN_AF26,4A,B4A_N0,3.3-V LVTTL,,,PIN_AF26,,,,,,,,,,,
GPIO_1[7],Bidir,PIN_AF25,4A,B4A_N0,3.3-V LVTTL,,,PIN_AF25,,,,,,,,,,,
GPIO_1[6],Bidir,PIN_AE24,4A,B4A_N0,3.3-V LVTTL,,,PIN_AE24,,,,,,,,,,,
GPIO_1[5],Bidir,PIN_AE23,4A,B4A_N0,3.3-V LVTTL,,,PIN_AE23,,,,,,,,,,,
GPIO_1[4],Bidir,PIN_AD24,4A,B4A_N0,3.3-V LVTTL,,,PIN_AD24,,,,,,,,,,,
GPIO_1[3],Bidir,PIN_AC23,4A,B4A_N0,3.3-V LVTTL,,,PIN_AC23,,,,,,,,,,,
GPIO_1[2],Bidir,PIN_AB21,4A,B4A_N0,3.3-V LVTTL,,,PIN_AB21,,,,,,,,,,,
GPIO_1[1],Bidir,PIN_AA21,4A,B4A_N0,3.3-V LVTTL,,,PIN_AA21,,,,,,,,,,,
GPIO_1[0],Bidir,PIN_AB17,4A,B4A_N0,3.3-V LVTTL,,,PIN_AB17,,,,,,,,,,,
HEX0[6],Output,PIN_AH28,5A,B5A_N0,3.3-V LVTTL,,,PIN_AH28,,,,,,,,,,,
HEX0[5],Output,PIN_AG28,5A,B5A_N0,3.3-V LVTTL,,,PIN_AG28,,,,,,,,,,,
HEX0[4],Output,PIN_AF28,5A,B5A_N0,3.3-V LVTTL,,,PIN_AF28,,,,,,,,,,,
HEX0[3],Output,PIN_AG27,5A,B5A_N0,3.3-V LVTTL,,,PIN_AG27,,,,,,,,,,,
HEX0[2],Output,PIN_AE28,5A,B5A_N0,3.3-V LVTTL,,,PIN_AE28,,,,,,,,,,,
HEX0[1],Output,PIN_AE27,5A,B5A_N0,3.3-V LVTTL,,,PIN_AE27,,,,,,,,,,,
HEX0[0],Output,PIN_AE26,5A,B5A_N0,3.3-V LVTTL,,,PIN_AE26,,,,,,,,,,,
HEX1[6],Output,PIN_AD27,5A,B5A_N0,3.3-V LVTTL,,,PIN_AD27,,,,,,,,,,,
HEX1[5],Output,PIN_AF30,5A,B5A_N0,3.3-V LVTTL,,,PIN_AF30,,,,,,,,,,,
HEX1[4],Output,PIN_AF29,5A,B5A_N0,3.3-V LVTTL,,,PIN_AF29,,,,,,,,,,,
HEX1[3],Output,PIN_AG30,5A,B5A_N0,3.3-V LVTTL,,,PIN_AG30,,,,,,,,,,,
HEX1[2],Output,PIN_AH30,5A,B5A_N0,3.3-V LVTTL,,,PIN_AH30,,,,,,,,,,,
HEX1[1],Output,PIN_AH29,5A,B5A_N0,3.3-V LVTTL,,,PIN_AH29,,,,,,,,,,,
HEX1[0],Output,PIN_AJ29,5A,B5A_N0,3.3-V LVTTL,,,PIN_AJ29,,,,,,,,,,,
HEX2[6],Output,PIN_AC30,5B,B5B_N0,3.3-V LVTTL,,,PIN_AC30,,,,,,,,,,,
HEX2[5],Output,PIN_AC29,5B,B5B_N0,3.3-V LVTTL,,,PIN_AC29,,,,,,,,,,,
HEX2[4],Output,PIN_AD30,5B,B5B_N0,3.3-V LVTTL,,,PIN_AD30,,,,,,,,,,,
HEX2[3],Output,PIN_AC28,5B,B5B_N0,3.3-V LVTTL,,,PIN_AC28,,,,,,,,,,,
HEX2[2],Output,PIN_AD29,5B,B5B_N0,3.3-V LVTTL,,,PIN_AD29,,,,,,,,,,,
HEX2[1],Output,PIN_AE29,5B,B5B_N0,3.3-V LVTTL,,,PIN_AE29,,,,,,,,,,,
HEX2[0],Output,PIN_AB23,5A,B5A_N0,3.3-V LVTTL,,,PIN_AB23,,,,,,,,,,,
HEX3[6],Output,PIN_AB22,5A,B5A_N0,3.3-V LVTTL,,,PIN_AB22,,,,,,,,,,,
HEX3[5],Output,PIN_AB25,5A,B5A_N0,3.3-V LVTTL,,,PIN_AB25,,,,,,,,,,,
HEX3[4],Output,PIN_AB28,5B,B5B_N0,3.3-V LVTTL,,,PIN_AB28,,,,,,,,,,,
HEX3[3],Output,PIN_AC25,5A,B5A_N0,3.3-V LVTTL,,,PIN_AC25,,,,,,,,,,,
HEX3[2],Output,PIN_AD25,5A,B5A_N0,3.3-V LVTTL,,,PIN_AD25,,,,,,,,,,,
HEX3[1],Output,PIN_AC27,5A,B5A_N0,3.3-V LVTTL,,,PIN_AC27,,,,,,,,,,,
HEX3[0],Output,PIN_AD26,5A,B5A_N0,3.3-V LVTTL,,,PIN_AD26,,,,,,,,,,,
HEX4[6],Output,PIN_W25,5B,B5B_N0,3.3-V LVTTL,,,PIN_W25,,,,,,,,,,,
HEX4[5],Output,PIN_V23,5A,B5A_N0,3.3-V LVTTL,,,PIN_V23,,,,,,,,,,,
HEX4[4],Output,PIN_W24,5A,B5A_N0,3.3-V LVTTL,,,PIN_W24,,,,,,,,,,,
HEX4[3],Output,PIN_W22,5A,B5A_N0,3.3-V LVTTL,,,PIN_W22,,,,,,,,,,,
HEX4[2],Output,PIN_Y24,5A,B5A_N0,3.3-V LVTTL,,,PIN_Y24,,,,,,,,,,,
HEX4[1],Output,PIN_Y23,5A,B5A_N0,3.3-V LVTTL,,,PIN_Y23,,,,,,,,,,,
HEX4[0],Output,PIN_AA24,5A,B5A_N0,3.3-V LVTTL,,,PIN_AA24,,,,,,,,,,,
HEX5[6],Output,PIN_AA25,5A,B5A_N0,3.3-V LVTTL,,,PIN_AA25,,,,,,,,,,,
HEX5[5],Output,PIN_AA26,5B,B5B_N0,3.3-V LVTTL,,,PIN_AA26,,,,,,,,,,,
HEX5[4],Output,PIN_AB26,5A,B5A_N0,3.3-V LVTTL,,,PIN_AB26,,,,,,,,,,,
HEX5[3],Output,PIN_AB27,5B,B5B_N0,3.3-V LVTTL,,,PIN_AB27,,,,,,,,,,,
HEX5[2],Output,PIN_Y27,5B,B5B_N0,3.3-V LVTTL,,,PIN_Y27,,,,,,,,,,,
HEX5[1],Output,PIN_AA28,5B,B5B_N0,3.3-V LVTTL,,,PIN_AA28,,,,,,,,,,,
HEX5[0],Output,PIN_V25,5B,B5B_N0,3.3-V LVTTL,,,PIN_V25,,,,,,,,,,,
KEY[3],Input,PIN_Y16,3B,B3B_N0,3.3-V LVTTL,,,PIN_Y16,,,,,,,,,,,
KEY[2],Input,PIN_W15,3B,B3B_N0,3.3-V LVTTL,,,PIN_W15,,,,,,,,,,,
KEY[1],Input,PIN_AA15,3B,B3B_N0,3.3-V LVTTL,,,PIN_AA15,,,,,,,,,,,
KEY[0],Input,PIN_AA14,3B,B3B_N0,3.3-V LVTTL,,,PIN_AA14,,,,,,,,,,,
LEDR[9],Output,PIN_Y21,5A,B5A_N0,3.3-V LVTTL,,,PIN_Y21,,,,,,,,,,,
LEDR[8],Output,PIN_W21,5A,B5A_N0,3.3-V LVTTL,,,PIN_W21,,,,,,,,,,,
LEDR[7],Output,PIN_W20,5A,B5A_N0,3.3-V LVTTL,,,PIN_W20,,,,,,,,,,,
LEDR[6],Output,PIN_Y19,4A,B4A_N0,3.3-V LVTTL,,,PIN_Y19,,,,,,,,,,,
LEDR[5],Output,PIN_W19,4A,B4A_N0,3.3-V LVTTL,,,PIN_W19,,,,,,,,,,,
LEDR[4],Output,PIN_W17,4A,B4A_N0,3.3-V LVTTL,,,PIN_W17,,,,,,,,,,,
LEDR[3],Output,PIN_V18,4A,B4A_N0,3.3-V LVTTL,,,PIN_V18,,,,,,,,,,,
LEDR[2],Output,PIN_V17,4A,B4A_N0,3.3-V LVTTL,,,PIN_V17,,,,,,,,,,,
LEDR[1],Output,PIN_W16,4A,B4A_N0,3.3-V LVTTL,,,PIN_W16,,,,,,,,,,,
LEDR[0],Output,PIN_V16,4A,B4A_N0,3.3-V LVTTL,,,PIN_V16,,,,,,,,,,,
SW[9],Input,PIN_AE12,3A,B3A_N0,3.3-V LVTTL,,,PIN_AE12,,,,,,,,,,,
SW[8],Input,PIN_AD10,3A,B3A_N0,3.3-V LVTTL,,,PIN_AD10,,,,,,,,,,,
SW[7],Input,PIN_AC9,3A,B3A_N0,3.3-V LVTTL,,,PIN_AC9,,,,,,,,,,,
SW[6],Input,PIN_AE11,3A,B3A_N0,3.3-V LVTTL,,,PIN_AE11,,,,,,,,,,,
SW[5],Input,PIN_AD12,3A,B3A_N0,3.3-V LVTTL,,,PIN_AD12,,,,,,,,,,,
SW[4],Input,PIN_AD11,3A,B3A_N0,3.3-V LVTTL,,,PIN_AD11,,,,,,,,,,,
SW[3],Input,PIN_AF10,3A,B3A_N0,3.3-V LVTTL,,,PIN_AF10,,,,,,,,,,,
SW[2],Input,PIN_AF9,3A,B3A_N0,3.3-V LVTTL,,,PIN_AF9,,,,,,,,,,,
SW[1],Input,PIN_AC12,3A,B3A_N0,3.3-V LVTTL,,,PIN_AC12,,,,,,,,,,,
SW[0],Input,PIN_AB12,3A,B3A_N0,3.3-V LVTTL,,,PIN_AB12,,,,,,,,,,,
VGA_B[7],Output,PIN_J14,8A,B8A_N0,3.3-V LVTTL,,,PIN_J14,,,,,,,,,,,
VGA_B[6],Output,PIN_G15,8A,B8A_N0,3.3-V LVTTL,,,PIN_G15,,,,,,,,,,,
VGA_B[5],Output,PIN_F15,8A,B8A_N0,3.3-V LVTTL,,,PIN_F15,,,,,,,,,,,
VGA_B[4],Output,PIN_H14,8A,B8A_N0,3.3-V LVTTL,,,PIN_H14,,,,,,,,,,,
VGA_B[3],Output,PIN_F14,8A,B8A_N0,3.3-V LVTTL,,,PIN_F14,,,,,,,,,,,
VGA_B[2],Output,PIN_H13,8A,B8A_N0,3.3-V LVTTL,,,PIN_H13,,,,,,,,,,,
VGA_B[1],Output,PIN_G13,8A,B8A_N0,3.3-V LVTTL,,,PIN_G13,,,,,,,,,,,
VGA_B[0],Output,PIN_B13,8A,B8A_N0,3.3-V LVTTL,,,PIN_B13,,,,,,,,,,,
VGA_BLANK_N,Output,PIN_F10,8A,B8A_N0,3.3-V LVTTL,,,PIN_F10,,,,,,,,,,,
VGA_CLK,Output,PIN_A11,8A,B8A_N0,3.3-V LVTTL,,,PIN_A11,,,,,,,,,,,
VGA_G[7],Output,PIN_E11,8A,B8A_N0,3.3-V LVTTL,,,PIN_E11,,,,,,,,,,,
VGA_G[6],Output,PIN_F11,8A,B8A_N0,3.3-V LVTTL,,,PIN_F11,,,,,,,,,,,
VGA_G[5],Output,PIN_G12,8A,B8A_N0,3.3-V LVTTL,,,PIN_G12,,,,,,,,,,,
VGA_G[4],Output,PIN_G11,8A,B8A_N0,3.3-V LVTTL,,,PIN_G11,,,,,,,,,,,
VGA_G[3],Output,PIN_G10,8A,B8A_N0,3.3-V LVTTL,,,PIN_G10,,,,,,,,,,,
VGA_G[2],Output,PIN_H12,8A,B8A_N0,3.3-V LVTTL,,,PIN_H12,,,,,,,,,,,
VGA_G[1],Output,PIN_J10,8A,B8A_N0,3.3-V LVTTL,,,PIN_J10,,,,,,,,,,,
VGA_G[0],Output,PIN_J9,8A,B8A_N0,3.3-V LVTTL,,,PIN_J9,,,,,,,,,,,
VGA_HS,Output,PIN_B11,8A,B8A_N0,3.3-V LVTTL,,,PIN_B11,,,,,,,,,,,
VGA_R[7],Output,PIN_F13,8A,B8A_N0,3.3-V LVTTL,,,PIN_F13,,,,,,,,,,,
VGA_R[6],Output,PIN_E12,8A,B8A_N0,3.3-V LVTTL,,,PIN_E12,,,,,,,,,,,
VGA_R[5],Output,PIN_D12,8A,B8A_N0,3.3-V LVTTL,,,PIN_D12,,,,,,,,,,,
VGA_R[4],Output,PIN_C12,8A,B8A_N0,3.3-V LVTTL,,,PIN_C12,,,,,,,,,,,
VGA_R[3],Output,PIN_B12,8A,B8A_N0,3.3-V LVTTL,,,PIN_B12,,,,,,,,,,,
VGA_R[2],Output,PIN_E13,8A,B8A_N0,3.3-V LVTTL,,,PIN_E13,,,,,,,,,,,
